	station46	station49	station121	station45	station50	station126
otu_7819	0	0	0	0	1	5
otu_7820	0	0	0	0	0	42
otu_7822	0	3	0	0	0	0
otu_7823	0	0	10	0	0	3
otu_7825	0	0	0	1	9	1
otu_7828	0	1	9	0	0	0
otu_7830	1	0	0	0	0	1
otu_7831	0	0	0	0	0	8
otu_7834	2534	315	0	2179	0	0
otu_7835	9	5	22	59	44	45
otu_7840	0	4	0	0	0	0
otu_7841	0	42	0	0	0	0
otu_7842	2	0	0	0	15	0
otu_7843	402	9	0	0	0	0
otu_7846	0	0	2	0	1	46
otu_7847	0	0	0	0	0	23
otu_7849	0	0	1	0	0	2
otu_7850	0	0	0	0	0	48
otu_7852	4	3	0	0	0	0
otu_7853	1	0	7	0	0	0
otu_7855	0	0	21	0	39	10
otu_7856	1	0	0	0	0	28
otu_7857	0	0	0	1	0	0
otu_7858	0	0	0	3	0	0
otu_7863	14	0	1	5	1	2
otu_7864	0	1	0	8	1	148
otu_7866	76	0	3	40	1	5
otu_7867	31	4	0	88	0	8
otu_7870	0	0	0	0	0	2
otu_7872	1	0	0	20	0	0
otu_7875	326	0	0	0	0	0
otu_7876	0	0	0	0	1	256
otu_7877	0	0	0	0	0	50
otu_7881	0	0	1	0	0	127
otu_7883	0	2	5	0	1	5
otu_7885	0	1	1	0	0	1
otu_7886	2	1	0	6	7	0
otu_7887	0	2	0	0	0	0
otu_7888	0	4034	0	0	3	0
otu_7889	14	3	4	14	0	11
otu_7890	0	3	0	0	2	0
otu_7892	2	2	4	3	7	24
otu_7893	0	0	1	0	0	25
otu_7894	0	5	1	16	0	40
otu_7895	1	0	0	13	0	0
otu_7896	1	1	0	0	0	2
otu_7897	0	1	4	0	0	13
otu_7898	0	5	0	0	0	0
otu_7899	6	333	3	0	0	0
otu_7901	0	1	1	3	0	0
otu_7902	0	0	0	0	0	12
otu_7904	2	0	1	8	8	29
otu_7905	0	0	0	0	0	1
otu_7906	0	0	1	0	0	0
otu_7908	17	1	0	94	0	2
otu_7909	4	1	1	117	25	78
otu_7911	0	0	40	1	3	267
otu_7912	0	0	8	0	0	36
otu_7914	0	0	2	0	0	0
otu_7916	0	0	0	0	0	17
otu_7918	2	13	2	0	0	0
otu_7923	0	20	0	0	1	45
otu_7924	111	0	0	53	0	0
otu_7925	37	93	0	0	0	1
otu_7926	7	3	3	41	3	6
otu_7927	22	3	11	23	15	27
otu_7928	0	2	0	2	0	0
otu_7929	0	0	29	0	0	0
otu_7930	1	0	0	0	0	51
otu_7931	13	0	4	19	0	0
otu_7932	14	2	1	2	2	0
otu_7933	53	1	0	470	13	45
otu_7936	0	0	0	3	0	21
otu_7937	0	0	3	57	5	197
otu_7939	0	0	21	1	49	24
otu_7940	3	3	27	13	21	8
otu_7941	0	0	0	0	0	4
otu_7943	861	713	35	0	0	4
otu_7944	0	0	3	0	0	31
otu_7946	0	0	25	0	3	9
otu_7948	0	0	0	0	0	2
otu_7952	0	0	48	0	0	0
otu_7953	4	0	1	0	0	0
otu_7954	0	0	0	0	0	121
otu_7955	4	2	1	0	2	9
otu_7956	0	0	0	0	0	522
otu_7961	33	3	0	108	9	23
otu_7962	0	9	2	2	3	152
otu_7963	186	128	0	13	15	0
otu_7964	0	3	0	0	0	0
otu_7965	2	0	0	39	5	2
otu_7966	0	1	0	0	0	0
otu_7967	105	11	24	387	23	4
otu_7968	0	8	0	0	0	667
otu_7969	0	5	0	15	0	0
otu_7970	292	1	0	1006	0	0
otu_7972	2	0	0	0	0	578
otu_7973	0	1	0	0	46	21
otu_7974	0	0	0	0	0	479
otu_7975	324	11	14	82	3	111
otu_7976	0	5	0	1	0	1
otu_7977	0	1	4	0	0	0
otu_7978	0	4	12	2	14	32
otu_7979	0	15	0	0	0	0
otu_7980	1	0	1	1	0	3
otu_7981	0	0	11	0	1	6
otu_7983	3	3	21	4	5	2
otu_7984	0	0	0	0	0	2
otu_7985	15	2	4	13	7	11
otu_7986	0	1	0	0	0	0
otu_7987	0	0	30	0	0	0
otu_7988	0	0	0	0	19	6
otu_7990	21	0	0	53	0	6
otu_7991	0	1	6	0	0	35
otu_7992	0	0	1	0	0	0
otu_7995	0	0	21	0	1	86
otu_7996	0	0	9	0	36	28
otu_7997	1	3533	0	0	1	0
otu_7998	0	3	1	0	0	0
otu_7999	2	0	361	0	0	49
otu_8001	70	14	0	158	7	20
otu_8002	24	3	31	153	93	0
otu_8003	0	1	0	0	1	2
otu_8005	0	0	1	0	0	18
otu_8007	0	0	31	0	0	1
otu_8011	0	1	0	0	0	0
otu_8014	0	0	0	0	0	8
otu_8015	0	1	1	1	0	0
otu_8017	17	0	2	120	26	357
otu_8018	0	0	11	0	0	0
otu_8019	18	0	0	7	1	0
otu_8020	0	0	0	0	0	4
otu_8021	3	1	0	1	0	42
otu_8022	0	0	14	1	0	0
otu_8023	0	0	0	0	0	31
otu_8025	0	1	0	0	0	0
otu_8027	3	0	0	0	0	8
otu_8028	1	0	0	0	0	0
otu_8029	3	0	1	0	0	76
otu_8030	0	1	0	0	0	0
otu_8031	2436	0	1	664	0	0
otu_8032	0	0	1	0	0	5
otu_8034	75	1	0	189	56	25
otu_8037	0	0	0	0	0	86
otu_8038	4	0	4	13	0	473
otu_8039	3	2	2	18	2	1
otu_8040	0	0	0	0	0	431
otu_8041	32	0	4	0	0	19
otu_8044	0	12	2	0	2	4
otu_8045	4141	0	0	0	0	0
otu_8047	0	0	0	0	10	0
otu_8049	520	6	3	107	0	590
otu_8050	0	0	2	0	0	0
otu_8052	0	0	28	0	0	1
otu_8053	0	0	6	0	0	0
otu_8054	16	0	77	20	27	0
otu_8055	46	0	0	0	0	0
otu_8056	165	0	0	0	0	0
otu_8057	12	0	0	1	0	39
otu_8058	4	1	6	17	25	79
otu_8060	0	0	0	4	0	0
otu_8062	30	9	7	103	12	6
otu_8063	0	2	0	0	0	67
otu_8065	0	0	3	0	0	22
otu_8066	5	0	0	0	0	19
otu_8067	0	1	0	0	0	9
otu_8068	1	4	0	0	0	6
otu_8071	1099	20	0	91	0	9
otu_8072	0	0	0	0	85	152
otu_8073	8	7	9	38	1	15
otu_8074	0	0	0	1	0	0
otu_8075	0	0	2	0	0	0
otu_8076	6	0	0	13	2	0
otu_8079	0	0	0	0	0	470
otu_8081	37	0	0	425	0	0
otu_8082	0	1	1	1	5	1
otu_8086	31	18	3	22	6	4
otu_8088	0	0	1	0	21	1
otu_8089	0	0	0	0	0	6
otu_8091	0	0	0	0	0	31
otu_8092	0	0	0	0	0	4
otu_8094	0	0	1	0	0	0
otu_8095	1	4	1	24	0	3
otu_8097	0	2	0	0	0	1
otu_8100	10	95	0	0	0	2
otu_8101	6	1	8	0	2	21
otu_8102	0	0	1	0	0	0
otu_8104	1	0	51	0	0	0
otu_8105	17	6	0	26	3	6
otu_8106	7	0	2	32	16	17
otu_8107	0	5	0	0	0	0
otu_8108	10	0	8	2	6	32
otu_8110	1270	0	0	1	0	0
otu_8111	1	4	0	0	0	0
otu_8112	18	7	6	53	16	28
otu_8114	0	0	0	1	0	0
otu_8115	0	3	0	0	0	1
otu_8117	0	0	20	0	0	0
otu_8118	0	1	0	25	0	2
otu_8121	0	0	1	0	0	2
otu_8122	60	0	0	0	0	0
otu_8123	652	6	0	3	2	1
otu_8125	25	9	0	25	1	9
otu_8126	1	3	1	12	6	37
otu_8128	40	95	43	68	50	430
otu_8129	558	0	0	204	0	1
otu_8130	4	1	0	94	1	5
otu_8131	0	0	0	0	0	3
otu_8132	1	913	0	0	0	0
otu_8133	0	4	0	0	0	0
otu_8134	2	0	0	0	0	1
otu_8135	0	2	0	0	0	38
otu_8136	31	0	0	12	256	3
otu_8137	2	4	0	0	0	11
otu_8138	0	1	0	0	0	1
otu_8139	115	2	0	155	0	1
otu_8140	0	1	0	0	0	1
otu_8141	2	0	0	4	0	0
otu_8143	76	42	5	2	8	39
otu_8144	169	8	0	0	0	0
otu_8145	42	0	4	6	5	6
otu_8149	2	0	0	35	2	4
otu_8150	0	0	0	0	0	50
otu_8152	2	0	0	0	0	0
otu_8153	0	2	0	0	2	46
otu_8154	0	0	1	0	0	2
otu_8155	0	0	1	0	0	0
otu_8156	1	0	0	0	0	3
otu_8158	0	0	0	0	0	28
otu_8159	4	2	0	0	0	279
otu_8160	1	0	1	0	9	2
otu_8161	0	0	2	0	0	7
otu_8163	28	4	0	11	0	7
otu_8165	0	0	3	0	0	0
otu_8166	0	3	0	0	0	0
otu_8167	131	0	0	93	0	14
otu_8168	2	0	0	28	12	2
otu_8169	0	0	0	1	0	0
otu_8170	0	0	0	0	8	0
otu_8171	18	0	0	0	0	0
otu_8174	0	0	0	0	0	59
otu_8175	111	8	0	388	46	3
otu_8179	0	3	0	0	0	0
otu_8181	36	1	1	117	1	45
otu_8184	84	1	0	373	8	1
otu_8185	0	1	0	1	0	13
otu_8186	18	1	3	8	0	85
otu_8187	4	0	0	0	0	0
otu_8189	6	7	2	8	1	43
otu_8190	2	0	1	0	1	0
otu_8191	0	0	0	0	0	107
otu_8192	22	33	0	13	0	1
otu_8195	0	0	0	7	2	38
otu_8196	0	2	0	0	0	0
otu_8197	0	1	2	0	13	2
otu_8198	0	0	0	0	0	4
otu_8199	0	0	14	0	2	0
otu_8200	0	0	0	0	1	3
otu_8203	0	2	0	0	0	0
otu_8206	0	0	0	0	0	23
otu_8207	1	0	0	0	0	0
otu_8208	0	0	0	0	0	301
otu_8209	0	0	2	0	0	1
otu_8210	31	0	7	1	7	9
otu_8211	2	4	13	0	0	49
otu_8212	11	0	1	23	21	12
otu_8213	7	1	1	13	0	307
otu_8214	4	4	0	5	1	20
otu_8215	18	27	0	40	0	0
otu_8216	826	13	4	27	3	8
otu_8217	21	3	1	51	13	16
otu_8218	119	1	0	9	0	1
otu_8219	0	3	2	16	93	23
otu_8221	0	2	0	0	1	479
otu_8223	0	1	14	4	6	69
otu_8224	1	1	0	0	0	0
otu_8225	0	0	0	0	0	39
otu_8227	0	0	33	0	1	0
otu_8228	1	0	0	0	0	8
otu_8229	14	0	0	169	28	0
otu_8231	57	0	3	6	9	51
otu_8233	1	0	23	44	0	11
otu_8234	1	38	10	0	1	9
otu_8236	0	0	0	0	0	113
otu_8237	4	0	4	11	8	8
otu_8238	0	0	0	0	0	3
otu_8239	79	1	2	422	6	136
otu_8241	16	10	8	3	3	0
otu_8244	9	15	0	109	0	0
otu_8245	2	0	0	4	0	0
otu_8247	89	4	1	426	36	1
otu_8248	0	2	2	0	0	0
otu_8249	0	1	0	0	0	317
otu_8250	10	0	17	8	86	11
otu_8251	0	0	2	6	2	46
otu_8253	20	0	11	42	13	18
otu_8256	69	16	5	0	1	0
otu_8258	0	0	1	0	2	4
otu_8259	0	0	1	0	1	18
otu_8260	0	0	0	0	0	17
otu_8261	0	0	0	0	0	44
otu_8262	0	0	0	0	6	34
otu_8263	0	0	0	1	0	0
otu_8264	0	0	5	0	0	1
otu_8266	0	1	0	0	0	9
otu_8267	13	1	0	3	25	0
otu_8268	24	4	3	32	4	3
otu_8269	0	46	0	0	0	10
otu_8270	0	2	0	0	0	0
otu_8271	0	0	5	0	0	0
otu_8273	1	0	0	0	0	55
otu_8274	33	6	13	43	8	3
otu_8275	0	0	0	0	0	5
otu_8276	0	22	0	0	0	0
otu_8277	0	0	10	0	7	35
otu_8280	0	0	10	0	1	0
otu_8281	0	3	0	0	0	0
otu_8283	30	0	29	42	11	64
otu_8284	5	2	14	16	11	133
otu_8286	9	0	0	13	1	5
otu_8290	3	0	0	0	0	0
otu_8292	1	0	0	0	0	0
otu_8294	0	0	1	15	2	80
otu_8295	3	0	0	2	0	3
otu_8296	0	0	0	0	0	1
otu_8297	0	2	0	0	0	11
otu_8298	0	0	0	0	0	37
otu_8299	19	25	1	42	1	50
otu_8300	0	0	25	0	0	1
otu_8301	0	0	0	0	2	6
otu_8302	0	0	8	0	143	0
otu_8303	0	0	13	0	3	5
otu_8304	1	0	0	0	1	0
otu_8305	0	0	1	0	1	10
otu_8306	0	0	4	0	41	24
otu_8308	0	2	1	1	0	60
otu_8310	18	1	6	0	13	4
otu_8313	9	0	0	0	1	0
otu_8316	74	5	1	337	10	6
otu_8317	5	5	13	72	111	4
otu_8318	0	1	1	0	0	33
otu_8319	0	0	0	0	0	3
otu_8320	0	3	0	0	0	0
otu_8321	0	0	2	0	3	7
otu_8324	2	0	3	4	10	1
otu_8325	16	0	5	291	9	38
otu_8328	86	2	0	0	0	1
otu_8329	0	0	0	0	0	2
otu_8331	0	0	0	11	1	0
otu_8332	4	0	0	0	0	0
otu_8333	0	0	128	0	0	4
otu_8335	0	0	0	2	7	6
otu_8337	2	1	6	0	0	0
otu_8338	1	0	1	0	0	0
otu_8339	0	7	0	0	0	1
otu_8340	8	6	0	62	0	15
otu_8342	0	0	0	0	0	280
otu_8344	1	0	2	0	2	4
otu_8345	1	0	5	38	52	24
otu_8346	119	3	4	16	13	10
otu_8347	2	1	0	0	0	4
otu_8348	0	0	0	0	16	1
otu_8349	0	0	9	0	0	5
otu_8350	0	0	5	0	0	65
otu_8351	0	4	0	0	0	0
otu_8352	1	0	0	0	0	3
otu_8354	0	0	0	0	0	1
otu_8355	7	3	3	39	19	0
otu_8356	1	0	0	0	0	0
otu_8358	48	0	0	0	0	0
otu_8359	0	1	2	1	3	5
otu_8361	0	0	0	0	0	12
otu_8362	2807	0	0	172	0	0
otu_8363	0	0	17	0	0	3
otu_8365	0	2	0	0	0	0
otu_8366	41	3	1	160	14	5
otu_8369	50	1	0	141	3	26
otu_8370	9	0	0	3	0	0
otu_8371	40	3	1	15	4	30
otu_8372	0	0	0	2	0	5
otu_8373	0	0	0	0	0	19
otu_8374	43	0	239	69	1	458
otu_8375	0	0	0	0	0	3
otu_8376	27	10	0	1	0	7
otu_8377	0	3	0	0	0	0
otu_8378	1	154	18	0	0	0
otu_8379	0	0	1	0	0	0
otu_8380	7	5	0	8	0	0
otu_8381	0	15	10	0	0	0
otu_8382	0	0	0	0	1	0
otu_8385	48	0	0	157	2	510
otu_8386	0	0	1	0	0	5
otu_8388	23	1	3	21	1	0
otu_8390	0	0	13	2	9	3
otu_8391	338	0	0	351	0	57
otu_8392	0	0	27	0	2	0
otu_8393	9	15	0	12	9	15
otu_8395	0	7	0	0	0	3
otu_8396	0	0	1	0	0	4
otu_8399	77	7	0	0	0	0
otu_8400	0	0	7	0	0	44
otu_8401	0	0	0	0	0	8
otu_8402	4	0	0	11	0	0
otu_8403	6	0	0	0	0	0
otu_8405	7	0	3	0	35	24
otu_8406	20	0	18	13	31	16
otu_8407	0	0	0	0	0	2
otu_8408	85	27	0	4	2	10
otu_8409	2	1	3	16	37	16
otu_8412	79	0	6	26	11	24
otu_8413	9	2	18	2	1	5
otu_8414	1	0	0	0	16	0
otu_8415	1	0	0	12	0	38
otu_8416	0	0	2	0	0	55
otu_8418	0	0	1	0	2	0
otu_8419	0	0	0	0	0	11
otu_8424	31	0	6	28	9	0
otu_8425	244	4	0	98	0	0
otu_8426	0	0	0	0	0	2
otu_8427	5	0	6	13	3	4
otu_8429	4	0	0	1	0	1
otu_8430	243	0	0	0	0	18
otu_8431	0	0	174	1	0	0
otu_8432	1	1	0	0	0	0
otu_8433	0	1	0	0	0	0
otu_8435	7	1	2	8	0	18
otu_8436	0	0	16	0	0	0
otu_8438	1	0	0	0	0	1
otu_8440	0	0	0	0	0	581
otu_8441	0	0	0	0	0	1
otu_8443	0	0	0	0	0	30
otu_8446	30	13	6	109	0	11
otu_8447	0	2	37	2	0	33
otu_8448	65	25	15	243	23	7
otu_8449	1	0	0	0	0	2
otu_8450	1	0	0	1	4	18
otu_8452	0	0	11	0	1	6
otu_8453	0	1	1	0	0	0
otu_8454	1	0	0	14	50	232
otu_8455	0	0	0	0	1	24
otu_8456	0	0	1	0	0	38
otu_8457	0	0	0	1072	4	0
otu_8458	13	6	6	89	22	0
otu_8459	43	6	0	7	27	8
otu_8460	36	1	1	1	0	8
otu_8461	3	0	0	10	0	0
otu_8463	0	0	8	0	1	0
otu_8464	1	0	0	0	9	27
otu_8465	0	0	0	0	0	246
otu_8466	0	0	0	0	0	3
otu_8469	0	2	70	0	12	28
otu_8470	0	2	2	0	1	13
otu_8471	565	2	0	152	0	5
otu_8473	377	28	1	823	1	138
otu_8474	10	0	0	2	2	7
otu_8475	12	0	0	0	0	0
otu_8476	0	1	0	0	3	0
otu_8477	0	219	0	0	1	1
otu_8479	13	2	6	55	26	10
otu_8481	2	0	29	8	0	16
otu_8484	0	3	0	0	1	0
otu_8485	0	0	3	0	2	2
otu_8486	0	0	0	0	1	49
otu_8487	256	11	0	2	0	0
otu_8488	0	0	0	0	12	18
otu_8489	5	0	0	0	0	0
otu_8490	6	34	2	0	0	2
otu_8492	0	1	0	0	1	0
otu_8495	4	0	0	3	9	22
otu_8496	523	432	0	0	0	0
otu_8497	3	3	4	0	6	6
otu_8498	47	0	1	44	0	0
otu_8499	0	2	0	0	0	0
otu_8500	0	0	1	0	0	0
otu_8502	25	2	5	46	55	22
otu_8505	54	19	6	41	6	62
otu_8506	12	142	0	0	0	7
otu_8507	0	0	1	0	1	4
otu_8508	0	2	1	26	2	0
otu_8509	5	5	3	48	15	40
otu_8512	614	0	0	0	1	21
otu_8514	0	0	0	0	0	6
otu_8515	6	2	2	30	12	30
otu_8516	501	334	0	0	0	0
otu_8518	1	0	2	1	0	3
otu_8519	3473	0	0	0	0	0
otu_8520	576	81	31	342	11	1
otu_8523	0	0	0	0	0	4
otu_8524	0	0	5	0	0	1
otu_8525	31	18	11	0	3	4
otu_8526	0	0	2	0	0	0
otu_8527	0	3	33	3	18	14
otu_8528	1	0	0	18	0	0
otu_8529	38	1	6	123	30	35
otu_8530	0	0	0	0	0	1
otu_8531	3	0	5	1	0	0
otu_8532	0	0	12	0	1	48
otu_8533	0	0	1	0	0	43
otu_8535	0	0	0	0	3	14
otu_8536	3	0	0	22	20	50
otu_8537	0	5	0	0	0	0
otu_8538	49	24	6	83	3	3
otu_8539	0	0	44	0	3	22
otu_8540	0	0	0	0	0	1
otu_8542	9	2	0	23	0	0
otu_8543	0	1	0	0	0	0
otu_8544	0	0	0	0	0	4
otu_8545	0	0	0	0	79	58
otu_8546	21	25	0	79	12	36
otu_8547	0	0	22	0	0	1
otu_8549	0	0	2	1	0	22
otu_8550	0	0	0	16	0	8
otu_8551	0	0	0	0	0	3
otu_8552	1	0	0	0	2	1
otu_8553	3	0	0	0	0	0
otu_8555	0	0	0	0	6	0
otu_8562	0	0	0	0	0	4
otu_8563	0	45	0	8	5	5
otu_8564	0	1	3	3	0	0
otu_8565	0	0	0	0	1	0
otu_8569	0	0	18	0	1	21
otu_8570	0	0	0	0	0	5
otu_8572	0	2	0	0	0	0
otu_8573	0	0	0	0	0	2
otu_8574	50	23	0	0	0	0
otu_8575	0	0	2	0	0	0
otu_8577	0	0	10	0	0	9
otu_8578	4	5	0	0	0	1
otu_8579	208	0	0	39	0	22
otu_8580	0	3	5	14	3	10
otu_8581	1	0	7	2	2	13
otu_8583	4	0	0	0	0	0
otu_8589	0	0	2	0	0	0
otu_8591	0	0	0	0	3	3
otu_8592	0	0	2	0	0	58
otu_8594	0	0	0	1	1	9
otu_8595	0	0	0	0	0	7
otu_8596	11	1	1	51	7	0
otu_8597	2	0	7	0	0	0
otu_8602	0	0	13	0	0	15
otu_8605	0	0	0	0	1	4
otu_8608	10	1	1	26	35	1
otu_8610	0	0	0	0	1	18
otu_8611	0	0	0	2	6	0
otu_8612	0	0	1	0	1	11
otu_8613	0	0	0	0	0	1
otu_8614	31	0	15	220	36	15
otu_8616	45	41	6	0	21	1
otu_8617	3584	19	0	16	0	0
otu_8618	7	0	0	0	0	0
otu_8619	0	0	0	0	1	20
otu_8620	0	0	0	1	0	0
otu_8622	144	44	0	0	0	0
otu_8623	0	0	17	0	0	0
otu_8624	40	0	0	1015	0	0
otu_8625	6	2	5	0	1	3
otu_8626	16	0	0	0	0	0
otu_8628	0	0	43	0	2	6
otu_8629	0	0	0	0	0	99
otu_8630	0	5	0	0	0	8
otu_8631	0	0	2	0	0	0
otu_8632	0	0	31	84	10	124
otu_8633	0	1	0	0	0	0
otu_8635	0	0	1	0	0	8
otu_8636	1	0	0	18	1	0
otu_8638	0	0	0	0	0	1
otu_8639	0	0	9	0	2	7
otu_8642	0	0	0	0	0	1
otu_8644	13	1	0	155	0	24
otu_8645	8	2	1	16	2	0
otu_8649	0	0	14	0	0	1
otu_8651	89	0	9	310	0	25
otu_8653	0	1	0	0	0	0
otu_8654	0	0	38	1	1	2
otu_8656	0	0	0	0	1	369
otu_8657	0	0	0	0	0	2
otu_8658	0	1	2	0	0	0
otu_8660	4	2	13	22	17	6
otu_8661	21	1	1	0	1	1
otu_8662	1	0	1	0	2	10
otu_8663	188	13	5	112	17	5
otu_8665	0	10	0	0	0	0
otu_8666	0	0	0	0	3	0
otu_8668	0	0	3	0	0	41
otu_8669	1	0	0	0	0	0
otu_8671	143	22	2	224	1	1
otu_8672	5	0	0	6	0	0
otu_8673	64	4	4	1110	1	160
otu_8674	0	1	0	0	0	17
otu_8676	119	18	0	783	0	39
otu_8677	0	4	0	0	0	0
otu_8678	50	8	1	111	7	4
otu_8680	0	0	0	0	1	2
otu_8681	0	1	0	0	0	0
otu_8682	1	0	43	2	137	24
otu_8683	0	0	0	0	0	142
otu_8684	0	0	8	0	1	9
otu_8686	18	0	0	0	0	4
otu_8687	0	0	1	0	0	0
otu_8689	0	0	0	0	0	34
otu_8692	0	0	0	0	0	3
otu_8695	1	0	0	0	0	0
otu_8696	0	0	2	0	0	21
otu_8698	4	15	4	0	9	38
otu_8699	15	0	1	9	0	1
otu_8700	0	1	0	11	12	0
otu_8701	0	0	0	0	0	13
otu_8702	0	2	19	1	2	77
otu_8703	0	0	1	0	0	0
otu_8705	0	0	0	3	0	2
otu_8707	274	0	0	0	5	0
otu_8711	6	29	0	21	55	1
otu_8713	0	0	12	0	0	0
otu_8714	0	8	0	0	0	0
otu_8717	70	41	0	0	0	0
otu_8718	0	0	1	0	0	14
otu_8719	0	0	0	0	0	22
otu_8722	0	3	0	0	0	1
otu_8723	0	0	0	0	2	1
otu_8724	1	48	0	0	0	0
otu_8725	0	0	28	8	13	66
otu_8727	0	0	0	0	0	6
otu_8728	0	0	0	2	11	0
otu_8730	41	7	2	168	14	37
otu_8732	0	0	0	0	0	1
otu_8733	0	0	0	0	0	8
otu_8734	50	26	0	81	70	4
otu_8735	136	18	0	262	1	5
otu_8736	0	0	0	0	0	5
otu_8737	0	1	2	0	1	1
otu_8739	0	0	3	1	0	17
otu_8740	0	2	0	0	0	1
otu_8741	11	1	4	122	12	36
otu_8742	0	0	7	0	0	44
otu_8743	5	0	2	198	1	647
otu_8744	4	4	2	0	0	14
otu_8745	168	41	0	224	1	5
otu_8747	0	0	0	1	0	1
otu_8748	3	0	4	5	3	24
otu_8751	5	0	28	2	1	6
otu_8753	12	3	2	6	8	112
otu_8756	0	1	0	0	0	0
otu_8757	8	2	48	40	62	26
otu_8759	1	0	36	0	0	2
otu_8760	0	0	0	0	0	31
otu_8762	0	1	0	0	1	0
otu_8763	26	0	0	0	0	144
otu_8765	0	0	0	0	0	8
otu_8766	0	0	0	14	10	0
otu_8767	11	22	0	177	0	0
otu_8768	3	0	0	24	0	0
otu_8769	351	64	7	0	0	7
otu_8771	39	0	0	0	5	10
otu_8775	0	0	0	0	1	0
otu_8776	0	0	269	0	102	0
otu_8780	2	1	8	24	1	42
otu_8781	0	2	33	0	64	22
otu_8782	15	78	47	0	0	0
otu_8788	28	4	1	17	5	1
otu_8789	0	0	0	4	0	20
otu_8790	0	0	2	0	2	3
otu_8793	0	0	2	0	0	4
otu_8794	300	0	0	2174	0	0
otu_8795	0	0	0	0	1	2
otu_8797	4	2	0	0	0	171
otu_8801	0	0	0	0	13	0
otu_8802	71	3	0	1149	0	6
otu_8804	0	2	3	0	1	0
otu_8805	18	51	9	399	0	8
otu_8806	10	1	4	6	1087	7
otu_8807	0	1	2	3	0	12
otu_8808	0	1	13	12	2	29
otu_8809	0	0	0	0	0	73
otu_8811	0	0	0	0	1	0
otu_8812	2	64	0	0	0	0
otu_8814	0	0	0	0	0	4
otu_8815	0	0	1	0	0	21
otu_8816	0	0	0	0	0	1
otu_8817	7	24	31	22	6	16
otu_8819	176	11	11	23	8	64
otu_8820	0	0	0	0	0	514
otu_8821	0	0	0	0	110	0
otu_8822	0	0	0	0	0	428
otu_8823	0	0	0	0	0	5
otu_8824	0	0	0	0	0	24
otu_8825	0	1	3	0	2105	24
otu_8826	0	0	10	0	0	94
otu_8827	0	1	11	1	0	1463
otu_8829	0	0	7	0	24	0
otu_8830	816	0	0	91	0	69
otu_8831	58	20	3	0	1	0
otu_8833	0	1	0	0	1	13
otu_8834	1	0	0	0	0	0
otu_8835	0	0	0	0	0	1
otu_8840	63	13	27	4	1	4
otu_8841	0	0	0	0	1	0
otu_8843	70	1	7	391	35	87
otu_8844	0	4	0	0	3	3
otu_8845	3	6	2	1	0	8
otu_8846	1	0	3	2	1	15
otu_8847	0	0	0	1	0	0
otu_8848	0	0	0	0	0	2
otu_8851	0	0	0	1	0	0
otu_8852	344	0	0	777	3	1
otu_8853	0	0	0	0	3	10
otu_8854	0	0	1	0	0	3
otu_8855	79	21	0	0	1	0
otu_8859	77	67	44	205	35	15
otu_8860	3	0	0	0	14	17
otu_8861	45	7	2	0	0	1
otu_8863	32	0	3	176	1	207
otu_8864	0	7	0	0	0	22
otu_8865	18	3	7	33	25	2
otu_8867	0	2	0	0	0	0
otu_8868	0	0	1	0	0	0
otu_8869	0	0	0	228	0	0
otu_8870	1	0	0	0	0	1
otu_8873	0	0	0	0	0	43
otu_8874	1	0	2	0	0	0
otu_8876	16	16	0	5	3	1
otu_8878	0	0	14	1	30	13
otu_8880	0	0	0	42	0	0
otu_8881	0	0	0	0	0	3
otu_8882	0	4	3	0	2	11
otu_8883	0	0	2	0	11	5
otu_8884	0	4	0	1	0	0
otu_8885	0	29	0	4	0	0
otu_8886	17	0	10	77	1	23
otu_8887	0	0	0	0	10	7
otu_8889	0	0	54	1	0	0
otu_8891	2	0	0	0	0	0
otu_8892	0	0	0	0	0	7
otu_8893	0	0	0	0	0	42
otu_8894	6	4	6	26	3	3
otu_8895	0	0	0	1	5	6
otu_8896	0	0	8	0	1	1
otu_8897	44	57	122	58	42	0
otu_8898	4	0	2	13	2	1
otu_8900	3	1	0	0	1	0
otu_8901	0	0	5	0	0	0
otu_8903	0	0	2	0	0	0
otu_8904	0	0	2	0	0	8
otu_8906	0	0	8	1	1	59
otu_8907	1	2	7	18	14	59
otu_8909	4	1	0	0	0	0
otu_8911	0	0	0	0	0	2
otu_8912	0	0	8	0	33	15
otu_8913	36	12	54	3	10	5
otu_8914	0	0	7	0	1	18
otu_8915	0	0	0	0	3	1
otu_8916	0	2	0	0	0	84
otu_8918	21	12	0	0	0	0
otu_8919	186	1053	0	0	2	0
otu_8920	22	40	0	0	0	0
otu_8921	4	2	2	0	7	8
otu_8922	0	2	1	0	0	8
otu_8923	0	0	0	0	0	48
otu_8924	39	62	0	296	47	1
otu_8925	0	1	10	0	9	39
otu_8926	0	0	30	0	0	0
otu_8928	0	0	0	1	0	20
otu_8929	0	0	3	0	0	0
otu_8932	21	9	4	245	27	15
otu_8933	0	0	0	0	0	17
otu_8934	0	31	0	0	1	0
otu_8935	0	0	0	0	0	4
otu_8936	0	1	0	0	0	0
otu_8937	15	6	1	80	4	2
otu_8938	3	0	0	29	0	0
otu_8941	0	0	6	0	0	1
otu_8942	6	0	4	0	0	15
otu_8943	0	0	0	0	0	265
otu_8944	0	1	0	0	0	28
otu_8946	1	1	41	0	6	3
otu_8947	0	0	0	0	2	0
